,mbti,comments
3879,ENFJ,그건 모든사람이 똑같은것같아요 저도 얼굴 봅니다 근데 얼빠는 아닌것같아요 얼굴을 먼저보고 뭐 아 이쁘구나 못생겼구나 뭐 평범하구나 생각이들겠죠 그후에 매력으로 비주얼이 커버된다고 들은 바 있습니다 저는 이성에대해 경험이 얼마없어서 잘 모르겠어요
18103,ESFJ,관심없으면 아침 인사도 안하고 집간것도 얘기안하고 언제보나 이런 말도 절대 안해요
19028,ENFJ,계속 뭐라고 하고 사과도 진정성있게 안하고 기분이 너무 상했었습니다
15848,ENTJ,1 저는 알고 지낸지 5년차였고 본격적인 썸은 한달 반 두 달 걸렸어요 2 5회 이상 둘이서만 만나고 점차 마음 확인하게 되면서 가까워지더라고요 3 장거리는 자신 없고 오래 사귄 상태에서 장거리가 된게 아니면 힘들 것 같다고 합니다 4 사귀기전 스킨쉽 일체 없었고요 호감 확인 된 후 부터는 보고싶다 좋다 하는 가벼운 직진 애정표현은 있었어요 사귄 후에도 조심스러웠어요 서로
80450,INTP,와 만해도 신난다
51710,ENTJ,흠 그러면 님은 막 스키나 자전거가 엄청 하고싶은거보단 남친과 시간을 더 보내고싶은거지 않나요 너무 친구들과만 스키 자전거 하지말고 나랑 같이할 안전한 취미 찾아보자고 하는게 나을수도요 약간 나는 위험한 오토바이 즐기면서 주변에서 입문한다고 하면 뜯어말리는거랑 비슷할수도요
20307,ISFJ,프제fj 좋아해주셔서 고마워용
16638,ISFJ,그사이에 그분이 다른사람한테 눈돌리지않는이상 그럴걸요
23589,INFP,정말 호감이 갔던 상대인데 조건이 용납되지 않아 고백을 거절했다면 상대가 나중에 연락이 오면 받아주실건가요 본인이 조건을 알고도 수용하려고 초반에 돌진했고 아플때 챙겨주고 선물도줘서 고마움이 크고 밝고 애교가 많고 이상형이라고 표현했다는 가정 하에요
58744,ISFP,저는 무신론자라 신앙심이 없어요 쓰니님이 하는 말씀이 모여서 친목질하다 마음 잘 맞는 사람 찾으면 그 친구 사귀어라 이런 뜻으로 공통체 말하시는거 같은데 저는 딱히 그럴 필요는 없는거 같아요 제 알아서 밖에서 맞는 사람들 찾으면 되니깐 사람 마다 신앙심은 다르니깐요 사람은 약한게 아니라 악한게 아닐까 생각해봐요 인간은 신의 모습 처럼 만들었다고 하는것 처럼 인간계에는 인간이 가장 고등생물이고 인간 만큼 무서운건 없다고 보고 인간도 인간에 의해 상처받고 죽임을 당하죠 축생을 살아가는 동물들은 인간계에 같이 공존하면서 살아가지만 가축이라 또 인간에 의해서 도살 당하며 잡아먹히거나 인간의 쾌락의 의해서 학대 당하죠 사람은 가까이 붙는게 아니라 오히려 멀리해야 된다고 생각해요 저는 사회현상으로 실제로 느껴지고 보이는것들만 생각하기 때문에 눈에 보이지 않는것은 진실이 아니라 가설인 느낌이 강해서 딱히 선호는 안하네요 종교를 가장 잘 이용할려면 자연과 가깝게 지내야된다 생각해요 모든건 과학적인 이유의 바탕과 자연의 순환이니깐 인간이 천국에 갈 수 없는것도 사실 너는 다시 태어나면 뭐 될꺼야라고 상대방에게 말하면 인간이나 동물로 태어난다고 하기 때문이기도 하고 인간이 천계에 함부로 올리가면 아마도 인간계에 있는 축생 처럼 천사들 한테 장난감 마냥 괴롭힘 당하고 잡혀 먹히지 않을까 싶네요 사람은 후생에 나쁜짓을 지르지 않는 이상 계속 인간계에 머물꺼라 봅니다 욕심 많은 성범죄자나 살인범들이 지옥에 가는것이고요 암튼 우리 인간도 동물과 식물과 같은 방대한 자연의 한 부분이라 그냥 자연적으로 눈에 보이는것에 느끼면서 살아가는게 지금 살고 있는 삶에 가장 큰 영향을 주지 않을까 싶네요
37608,ISTP,관둘랍니다
76797,ISFJ,네 방금 안그래도 보고차원 쿠폰 못쏘게 되서 연락했다네요 의도 파악할 필요없이 문자 그대로 이해하면 되더라구요
30000,ESFJ,entj인거같아요 정말 시간갖자라는 말이 사람을 피말리게하네용 저희도 목요일까지만해도 괜찮았는데하아
68298,INFP,정말로 잘숨기는군요저도 전혀 눈치채지 못했거든요 간택타이밍이 당황스러웠긴 한데 잇팁이 그만큼 다가와주고 이줘서 저도 항상 고맙다고 생각하고 말하곤 하네요 모태님의 말씀대로 못난 행동은 안할 수 있도록 저도 노력해봐야겠네요 감사합니다
41818,INFJ,우선 글을 읽으면서 어떤 심정이실지 공감이 많이 되었어요 알게 모르게 마음이 조금은 하실 듯해요 근데 저라면 관계를 슬금슬금 정리할 것 같아요 연락을 읽지 않는 빈도를 늘여가면서요 굳이 나에게 불편한 사람을 곁에 두면서 내가 스트레스 받을 필요는 없잖아요 그리고 관계를 정리하는 게 전혀 나쁜 게 아니라고 생각해요 관계라는 게 혼자만 노력해서 되는 것도 아니고 내가 힘든 관계인데 그걸 굳기 꼭 유지해야할까요 괜찮아요 그 친구가 신뢰를 하고는 있다지만 무조건적으로 글쓴이님께서 그걸 견뎌내주고 참아주고 그 기대에 부응할 이유도 필요도 없다는 말씀드리고 싶습니다
65932,ISTP,아파서 그런거면 상관없죠
36815,INTP,저아는 잇팁이랑 똑같아요 결국 전 손절했습니다 아직도 이유는 모르겠네요
64052,ISTP,전여친이랑은 장기연애 했는데 2주 1회 금토일 쭉 같이 있었어요 그게 좋더라구요 한 주말은 제 취미 생활하고 그 다음 주말은 통째로 여친이랑 같이 있으면 평일에는 퇴근하면 녹초라 사람 만날 힘이 없어요
2516,ENFJ,리르님 제가 읽어보기에는 잠깐 휴식이 필요하신거 같아여 인격장애라기 보다는 흑화 시즌이 온 게 아닐까용
27863,ISFP,오 대박 그렇군요 저도 아직까지 서로 엄청 맘상하고 그럴일은 없었어서 앞으로 서로 잘 맞춰가고 배려해주면 오래가지 않을까 생각합니당
6550,INFJ,저 ienftjp 저도 약간 인프제에 엔프피 쏟아부은 느낌이에요
3374,INTP,비둘기요
33305,ENFJ,애매한 관계를 싫어하던데 지금 이도저도 아닌 상태라 시간낭비라 생각하고 계신 것이 아닐까요 관계를 빨리 정해주시는 게 좋을거 같아요
19516,ESFJ,그냥 정말 사소한거 전 좋아하는 음식이나 뭐 하게 있던일 물어보거나 그러면 혼자 잘 얘기하는것 같아여
16434,ESFJ,인프제님이 말씀하신 것 처럼 비슷하게 얘기는 하고 예전처럼 지내려고 노력중에 있었어요 맞아요 관계 끊는게 어렵죠 근데 친구가 내적손절 했을까봐서요 그냥 후회가 되요 너무 친해지려고 했고 잘 하려고 한 거 그리고 친구를 더 이줄걸 친구 맘을 알 수가 없어서 해요
49410,INFJ,헉 개인 성향에 따라 너무 달라서 일단 제 기준으로는 확실하고 완강하게 거절 표현하는 편이라 다시 좋아진 적은 없습니다 어
48926,INTP,이 인간 또 이러네 하고 웃으며 넘어거겠죠 상대도 오랜 친구를 잃긴 싫을거에요 기다렸다가 내년 초에 복 마이 잡수라고 연락하시죠 뭐
66947,INTJ,잘 해볼게요 조언 감사합니다
31587,ESTJ,흠 엣티제 별루 안보수적입니당 그냥 내사람은 아니었으면 하는 이상형에 대한 로망 바램 같은건 있긴 하지만 타투있든말든 뭐 클럽을 가봤든 말든 그래서 정확하게는 보수적이냐 아니냐 보다 편견이 있냐 없냐 인데 전 편견이 없는 사람 같아요 제주변 엣티제들도 편견 진짜 없음 근데 규칙 규율이 본인들만의 선이 있는 유형이라 하다고 생각하고 사람들이 그래서 엄청 보수적일거다라고 생각하는데 보수적임과 편견없음은 또 다른 문제라 전 할건 하지만 노는 것도 새로운거 도전하는거 액티비티 다 너무너무 좋아요 이런것들 하고 살려고 저의 안전기반 같은 직장을 성실히 잘 다니는 것 근데 쓴이한테 말한건 별의미 없는 것 같아요 꽉막힌 건 좀 과대해석이고 그냥 이런 유흥문화 안좋아할 것 같아서 재밌게 못즐길 수 도 있다 이거아녜요
66323,ISTP,엣팁은 밖에 있어요
75920,INTP,저는 코쿤보면서 인프피인줄 알았어요 f수치 높아보야서요 멘트도 사려깊고요 eq 높아보이더라고요 텐션 안높고 차분해서 내향형인줄 알았는데 외향이라 신기해요
57474,INTJ,전 친구가 엣팁이고 남친도 엣팁이 있는데 한명은 진짜 카톡 전화 상관없이 잘하는 부류고 제 남친이랑 통화해본적 없는 사람입니
68802,ISTP,그러게요 그건 잇팁이 아니라 그 개인의 성향같기도
27732,ISTP,아직 첫만남을 안했어욬
53246,INTP,서로 이군요 에잇 부러우니까 행복은 빌어주지 않을테야 흐규
2906,INFJ,저는 미련있으면 물어봐요 아니면 그냥 무시해요
8193,ISTJ,근데 제가 일부러 연애의 감정을 싹틔우기 위해 하트도 보내고 애정표현을 좀 하면 사라져요 그런 분위기로 물오르는걸 못견디는건가요 본인은 애정표현도 늘어나기는 하는데 제가 화답하면 그거에는 반응안해줌 이래서 제가 감정표현을 투명하게 해도 되나싶어요 저런 행동이 제가 생각이 많아지게 한답니다 저는 함의를 가진 말이나 행동은 안해요 저는 솔직한편이거든요 근데 솔직했을때 튕기거나 반응을 안해줘서 당황해요
81168,INTP,헐 0 엥뿌삐님 댓글 자주 봤는데 싱가포르 사셨군요 그래서 장거리라고 하셨구나
15730,ISFJ,피곤한 것보다 보고 싶은 게 더 커서요
33419,ISTJ,저도 여친이랑 오코노미야끼 다이어트 할든요 양배추 달걀3개 고기 및 토핑 치즈 올리고 소스로 마무리요 포만감도 좋고 야채가 많아서 다이어트하기 좋대요 살 빠진다고도
2780,INFJ,어유 그건 절대 안될거같아요 잘못하면 희망고문이 될수도 있어서 굉장히 무례한 행동이라 생각해요
61814,ISTP,와프린터 출력인줄
61499,ENTP,별거아닌데 욱하고 씅내고 자책하고 그러더라고요
65473,INTJ,워낙 제가 그런거 볼때마다 역겹다고 표현해놔서 조심할거같아요 주변 친구들도 이거땜에 불안하다고 하니까 그럴애 아니라구 하더라구요 물론 이미지메이킹일수도 있지만요
53567,ESTP,전 p 요 너무너무너무 세요
59676,INFP,맞아요 맞아요
67320,ISTP,넹 시간아까우면 거절해요 극효율적이라서 제시간낭비안해요
55934,ESTP,찐한 스킨십은 안돼요 그냥 치는 정도 그리고 어색한 사이에서 마음없으면 오히려 스킨십 하고 마음이 크거나 짝사랑이면 절대절대 못해요 왕뚝딱
39640,ISTP,그냥 밀어버리셨
55620,ESTP,재밌쒀여 앗싸 또 쓸게요
71632,INTJ,인티제가 enfp님 반응보고 아 좀 다른 모습으로 접근해야겠다 해서 피드백받고 다른 모습을 보인 것 같네요
40106,INFJ,네 저도요
62669,ENFJ,맞아요 일부다처제 같은것도 전쟁으로 남자들이 너무 죽어서 남자 수가 너무 적어지니 결혼할수있는 여자가 적어져서 일부다처제가 되었다고 했어요 성비가 안맞아서 생기게 된것이죠
49322,INFJ,고마움과 감사함 즐거움과 기쁨은 항상 표현하자가 모토라서 흐뭇하고 살뜰한 답변이라 칭찬주시니 밖은 추운데 마음은 따뜻해지는 정말 고마운 댓글 남겨주셔서 감사합니다 포유님도 편안한 밤 되시구 오늘 하루도 웃는 일 가득하시길 바랄게요
43071,INFP,가뿐히 무시해주겠어여
72782,INTJ,몰랐던 미지의 영역인데 알게되면 깊은 내면의 성장을 가져다 주는 나보다 소중한 나를 만나게 되는것 인생의 0순위가 존재할 수 있구나 싶은것 가슴 벅찬 설렘을 경험할 수 있는 인생에 몆번 안오는 기회
49919,INTP,요즘안늦는 님 답글 정말 감사했습니다 응원해주셔서 큰 힘이 됐고 됩니다 다시금 진심을 담아 감사드립니다
26036,ISFP,참고하겠습니다 감사합니다
56788,ESTP,감사합니다
67443,INFP,에궁 저도첨엔 연락이 애정이다 생각햇는데 지금은 뭐 그냥 필요하면 하것지 하고말아요 웃긴건 간만에 대화해서 좋다고하면 바로 카톡 그만한다고가버림 넘 신경쓰지마세여
48602,INFJ,오 저도 연인이랑 싸우고 시간을 갖자고 했어요 시간을 갖자고 한 이유는 도무지 말이 안 통한다고 느꼈고 지금 당장은 서로 대화가 안된다고 느끼고 또 제가 감정이 앞 너무 극단적으로 생각하거나 심한 말을 하게 될까봐 그랬던 것 같아요
58824,ESTP,누가 욕하거나 비난 받으면 그래서 어쩌라고 다 타격없어도 노잼이라 들으면 하면 찐화납니다
50855,INTJ,인티제 내로남불 있습니다 내가하는 팩폭은 정당한 주장으로 알고 있을수도
11301,INTP,좀 더 지켜보는게 좋을 것 같아요
40377,INFJ,서로 싸우진 않고 친구가 생각없이 막말하거나 잘못했을때 화내고 사과받은적은 많아용
61984,INFJ,결국에 인프제는 신중하기 때문에 올인하기 싶지 않아요 신뢰의 문제이지 않을까 싶어요
42533,ENFJ,저도 예전에 비슷한 경험이 있는데 호구란 말을 하더라고요 물론 취중이긴 했지만요 당시엔 좀 기분이 그랬죠 너에게만 하는 이 배려와 잘해주고 싶은 마음이 그렇게 받아들여진건가 해서 제가 마음에 담아두는 스타일도 아니고 곱씹진 않았지만 선이 다르다고 생각은 하지만 아직도 여전히 이해할순 없습니다 그냥 다르다고 인정만 한거죠 저는 타인이 어떻게 받아들일지까지 생각하면서 말을 하려고 신경쓰는데 자기 생각대로 상대방도 당연히 알아줄거야라고 생각없이 말하는건 너무도 화가 났어요 그당시에는요 말실수 한 것일거야라고 생각하려고 했고 제가 좋아하는 부분만 보려고 했던거 같아요 너무 상처받지 마시고 하루빨리 회복하시길 바랄게요
16021,INFJ,바람펴서 헤어졌습니다
42629,INFP,몽구름님 잘봤습니다 내용이 재밌으면서도 공감이 가네요
17150,ISFJ,저는 마음에 없으면 억지로 답 안해요
3622,ISFJ,재다가 맘 없음요
15358,ENTP,혹시 쪽지 한번더 확인부탁드려도 되나요
73309,ISTJ,힘든 이유 계속 묻는게 혹시 더 힘들게 하는걸까 싶어서 머뭇거리게 되더라구요
862,ISTP,곧 나겠지요 주말드라마가 아니라 미니시리즈라면
57743,INTJ,정식검사상담 해봐요
46178,ENFJ,부이 카메라요 작고 귀여운데 갬성 해요
61578,ISFJ,제 주변 엔프피랑 비슷한데요 그러다 보니 적이 많아요
54219,ISTJ,아 그리고 글이랑 카톡 아무리 봐도 같다 죽았음 좋겠다 이런 폭언을 한 게 문젠데 그거에 대한 문제의식은 없는 느낌 사과에도 그 내용이 없고 술이 줄은줄 모르고 이런 부가적인 내용만 있고 글에도 타이밍 걱정하시는걸 보니 제3자가 봐도 와 이사람은 이런 말을 하는게 얼마나 비정상인지 모르는 사람이구나 란 생각이 드는데 연애 당사자는 어떻겠어요
51098,INTJ,아 음 제 생각은 일단 화이팅입니다 꼭님 하고 싶은 대로 하는 게 후회 없어요
428,ISTJ,아직 꽂힌 상태는 아닌 거 아닐까여 님이 마음에 들면 꼬셔야죠 나쁘지 않고 날 좋아해주니까 몇번 더 만나보자 하는 마음일 거 같아요
64488,ISTJ,제가 주변에 사업하는 사람이 없어서 직장생활 도피로 생각하는거같아요
8461,ISFJ,어떤 심리인가요 정말 잡고 싶은 친군데
29723,ESFP,친한친구사이라면 어떠실것같나요
55871,ISTP,저는 별핑계를 대서 제가 땡길때만 빼고 다 뺐지요 모임있는데 귀찮아서 회사야근이라고 뻥치고 혼자kfc가서 트리플징거다운 먹었어요
23102,ISFP,화장실에서 잇프피가 말씀드리자면 지금은 썸시작이라 보이고요 몇번 더 만나고 고백 때리면 쉽게 연애 가능합니다 근데 썸기간때 상대가 결혼전제로 하는건지 비혼주의인지 아닌지 물어보세요 근데 저는 저 잇프피랑 연애하는거 비추해요 사귀다 보면 회피민감불안감1여서 쓰니님이 피 말릴껄요 잇프피랑 연애할때는 썸기간때 사람 자체가 어떤 사람인지 깊게 알고하세요 대화로는 안보이는 불편한게 사람 마다 하나씩 있어요
27769,ISFP,앗 뭐해 연락줘는 금물이에요 귀찮아함 그냥 냅두면 돼요 그냥 냅두다가 이거땜에 화났지 알아주고 놀러가자 하면 풀려요 단순해서 화났다가도 까먹음 도덕적으로 완전 위배돼서 사람간 신뢰깬거아니면 대부분 그냥 냅두면 돌아와요
60999,ISTP,하나만 더 여쭤봐도 괜찮을까요 원래 어느정도 친해졌다 싶으면 연락을 잘 안 보는 편인가요 잘 될 땐 우 했다가 갑자기 몇 시간 씩 연락이 없어요
24009,ISFP,저도 본문에 매우 동의해요 그런 점 배우고 싶어요
42484,ENFJ,저희엄마도 그런데요 적당히 거리두고 여행이나 선물을 해드리고나서부터는 제입장으로 조금씩 바뀌더라구요 여행가서 피곤하게 하면 피곤한티내고 다음엔 안올것처럼 해요 말이아니라 느낌적으로요 원래제일가까운곳에서 가스라이팅한다하죠 다그런건 아니지만 저희시대 어머니상들이 자존감낮은분이 많으시니 이드려야하는데 제가 살려면 어쩔수없더라고요 부모가아니라 사람이 다그래요 꼭 여행이나 선물이 아니더라도 어머니의 결핍을 아시면 좋을것 같아요 그것도 서로를 이해하는과정중에하나이니 저희어머니는 결핍중에 하나가 외로움이에요 그래서 시간을 같이보내거나 대접을 하면 좋아하시죠
67714,ISFJ,저한테는 말도 안걸고 눈도 안마주치고 만날려고 노력하지도 않아서 저를 불편해 하는건 아닌가 싶어서 내심 눈치보이고 그러네요 불편해한다는 뉘앙스 보이면 단톡방에서 나가고 싶은데 그러기엔 또 막 엄청 불편해 하는 느낌은 아니고 여러모로 어렵습니다
47258,ESTP,똑같이 해주셔요
47223,ESTJ,답변감사해요 상대방 답변 그대로 말하면 전혀 불편하지않았다 지금너무좋다 다만 본인의 상황때문에 적극적일 수 없을뿐 타이밍이 안좋았다 라는 말 같은 좀 거절아닌 거절같은 말을 하네요 제가 호감이 있다라는걸 밝힌 대화 이후 저런말로 마무리됐었고 그 이후에는 말 돌려서 다른얘기했는데 근데 또 선톡은 오고 제가 끊는 톡을 했는데도 연락하고 있네요 호감있다 밝힌게 이틀밖에 안되긴 했어요 전 좋으면 적극적으로 계속 표현하는 성격인데 계속해야하는건지 저게 거절의 의미인지복잡해요 잇팁이라는걸 아니까 더 어려운거 같네요
71673,ISFP,넹 아스파탐도 당이니까요
33246,ISTJ,우선순위에서 계속 밀려나가는게 보이는 모든 순간들
48051,ISFP,내가 알던 인프제가 맞나
49436,INFJ,저도 이별 결심하면 만나서 이런이런 이유로 헤어지고 싶다 구체적으로 말해주는 편입니다 친한친구로 지내자는 헤어지자는 말 같고 시간 갖자는 헤어지자는 말보다는 진짜 시간을 두고 우리 사이를 생각해보자는 거 같아요 시간을 갖고 충분히 생각한뒤 잘해볼거면 잘해보는거고 생각해도 아니라면 아닌 이유를 말하며 헤어지자하겠죠
66957,ESTP,전 좋아하면 제 약속 다 제치고 일빠로 먼저 만날 수 있을거같애요 그냥 날짜 조율보단 날짜를 통보해봐용 반응 궁금
56908,INTP,다른사람과 스케줄이잡혀있다하거나 바쁘다
12028,ENFJ,엔팁은 불편한 상황이면 어떻게 대처하나요 마주치기 싫은 사람이 일적으로 계속 마주쳐야 하는 상황이라면요
56688,ISTP,친구한테 간단한 포토북 받아봤는데 좋았어요 코멘트 짧막하게 적어둔것도 귀엽구요 윗분 말처럼 앞에선 티 잘 못내고 집가서 몇번씩 읽어봤어요 반응 없더라두 좋은가부다 하고 넘기시면 될 거 같습니다
61446,INTP,인프피들은 깊게 알 수록 재밌습니다 초반에 왜그리 낯을 가리는지 이젠 인프피라 하면 그 얌전한 첫 인상을 믿지 않아요 숨겨둔 똘끼 보여줘 난 이미 재미버전의 너넬 알고 있다고
38365,ISFP,그렇군요
24963,INFP,그죠 그냥 옆에서 조금만 달래줘도 풀리죠 어디간다 그러면 보내쥬지만 뒤에서 부글부글
39232,ESTP,이성을 기준으로 얘기하시는 거라면 일단 외모에서 가능 불가능이 있고요 없던 관심이 생기려면 어 재밌을지도 하는 생각이 들어야 합니다
6509,INFJ,와 신기하네요 엔프제남자친구도 누가 싸우면 어떻게 싸웠든 일단 가서 말린대요 저는 어떤 상황이냐에 따라서 말린다구 그랬는데 이런 글 보면 또 엠비티아이는 과학이란 생각이
76287,ISTP,n도 생각을 끊고덜하고 살아갈때도 있고 s도 잘 해요 제 경우도 꼬리에 꼬리를 무는 생각이나 걱정 잘 하는데 그게 에너지 소비가 너무 심해서 안 하고 싶어하는거고 밸런스게임 과몰입이라던가 다양한 분야의 여러 지식 습득하기도 좋아해요
7900,INTP,혼자서도 잘살맞말이에요
34664,ENFP,진짜 변종이네요 만난지 얼마나 되셨어요
79414,ENFJ,제가 느꼈을땐 빠른편 같네요 저도 썸때나 사귈때나 항상 선톡했었습니다
6545,INFP,힝저랑 넘 비슷하네요헤어진 이유는 다르지만 전 심지어 더 짧게 만났는데도 감정농도 자체가 너무 짙었어서 힘들어요 저도 첫눈에 반한건 상대방이엇고 그 애정어린 모습이랑 표현에 저도 확 벽을 허물었는데 그러고나서 헤어지니까 상처에요 아마 상대방이 마지막사람이라고 생각하고 만나서 그런가봐요
45771,ISTJ,헤어지셨나요
78171,ENTP,동숲은 진짜 제 인생에서 진짜 예상 못했던 변수였어요 정말 어쿠스틱 라이프 웹툰처럼 폐인처럼 지냈습니다아직 미혼이시군요 아루이 님께서도 잘 맞는 분을 만나실수 있을거에요 글이 정말 길었는데 정독해주셔서 감사합니다
48588,ENFJ,얼마든지 안될 수 있죠 썸연애의 고질적인 문제니까요 이전에 쓰신 글도 읽어보니 상황이 좀 가늠이 되네요 저도 이런 질문 많이 받아봤는데 보통 2가지로 나뉘더라고요 1 결국 로 끝을 경험해보기 전까지는 주변에서 뭐라 하던 절대 깨닫지 못하는 사람 2 조언을 따라 이 생각해보고 말 되네 싶으면 깨닫고 즉시 관계를 명확히 하거나 또는 정리하는 사람 제 경험상 90가 전자였던 것 같습니다 어느 쪽인진 모르겠지만 이 말씀을 드리고 싶어요 1 내 상황만 놓고 보더라도 상대는 사귀지 않는 사이에서도 두 세 달 동안 이성과 매일 매일 연락하고 매주 만나서 데이트가 가능한 사람임을 인지하세요 동시에 이런 관계는 얼마든 나 말고도 동시에 유지되고 있을 가능성이 있다는 것을 열어두어야 합니다 2 나중에 내 자식 낳았을 때 추천할 것 같은 사람이면 끝까지 붙잡으시고 아닌 것 같으면 정리해야 한다 1 2번을 참고하고도 여전히 상대가 매력적이고 욕심이 난다면 둘은 천생연분일 가능성 및 연애관이 같을 가능성이 높으니 저는 만나시는 거 추천합니다
2534,ESTJ,칭찬 받으면 고장 나고 그러시나용
9072,INTP,여자친구 아니면 친구랑 스몰토크 안하고 일주일 연락 안하는 것도 예사예요 그러다 궁금한 거 생기거나 이쯤되면 한번 봐야하나 싶어서 연락하기도 하고요
60344,ISTJ,2번 첫사랑같은건 아닌거같은게 순수하게 그런게 아니라 사귀기직전까지갔고 스킨십도 전부 나갔어두요
15089,ISFJ,하시면 됩니다
43535,ESTJ,넵 노력하겠습니다
23961,ISFJ,호감이라고 봅니당 잇픕 관심없음 톡 보지도 않아요 관심있음 칼답 시간내서 잠깐이라도 보러 와요 보고 있음 귀엽고 웃겨요
70297,ESTJ,연애는 상관없죠
10696,ENTP,엔팁한테 맞춰주지말고 주관대로 하세요 하지만 좋으면 좋다고 하는게 좋습니당 엔팁이 끈기는 없거든요
26050,ISFP,네 아마 잇프제님이 옆에서 오히러 상처받을 수 있을거에요 표현도 잘 안하고 초반에 타오르다가 꺼진다고 생각 될 수 있어요 하지만 말로하는 표현말고 행동을 지켜보세요 잇프피는 말보다 행동이 앞서요 너무 재촉하거나 닥달하지말고 옆에서 조용히 힘이되어주면서 지켜봐주세요 어느세 마음열고 자기 모든걸 주는 잇프피를 경험하실거에요
72169,INTJ,남편분 intj 맞으실까요 아무래도 아니신듯해요
61647,ENFP,저 엔프핀데 가능해요 그만큼 좋으니까 가능한 거죠 진심으로 저러시는 거일 듯
232,ENTP,그렇군요엔프제님들 반응이 제이긴 하지만 어쨌든 선호보단 불호에 가까운 분들이 많네요 근데 그 반응이 저는 왤케 귀엽죠저한테는 아무것도 아닌데 다들 너무 기를 쓰고 싫어하셔서깜찍해보여요
1843,INFJ,안지 얼마 안됐다면 연락 먼저는 안할거 같고 오면 그냥 하고 싶은 대답은 동성친구 대하듯 하게 할거 같고요 원래 지인이었다면 그런 감정 갖지 말라고 말함
65244,ISTP,저 전남친한테 현금 받았는데 미안한 마음 들기도 했지만 좋았어요 그 돈 그대로 몇달간 보관하다가 나중에 썼네용
34035,ISTJ,이별도 경력직이라 그런거 맞는거 같아요 저도 이별하고 나면 진짜 너무 빨리 괜찮아져서 항상 후폭풍 걱정하는데 안오더라고요 후폭풍대신 전 이별하기 전이 넘 힘들어여
63574,ENFP,본인의 상황 때문이라는건 핑계고 헤어지자고 말 하는거 자체가 마음이 떠난거에요 헤어지자 말하기 힘드니까 다른 핑계를 말하고 말을 돌려서 하는거죠 마음이 끝나신거 같네요
65012,ESFJ,그렇군요 그냥 일주일 되는 날 먼저 연락해보고 만나기 싫으면 전화라도 해서 정리하자 라고 말해봐야겠어요
55247,ESTP,저는 그런사람들은 그런사람끼리 만나야 맞다고 생각이들어요 마음 정리 잘하시고 잘해결하셨으면좋겠네요 estp가 보통 뒤끝없고 쿨해서 말하는게 너무 말도안되는 이유거나 그런 말들 하는거아닌이상 자기가 이해하면 쿨하게 헤어질거에요
20078,INFP,사랑받는 중
70001,INTJ,그럼 딸림음님은 ni를 뭐라고 생각하시는데요 에니어에 따라 구체적으로 뭐가 다른지 설명할 수 없으면 그냥 제대로 된 정의 없이 모호하게 만드는 것밖에 안된다고 봅니다
41432,ENTP,직접본적있어요 썸이라 사귈때도 갈아타는지는 모르겠는데 남자두분 한번은 공식적인 썸에서 갈아타고 한번은 비공식 썸에서 갈아타고요 금방빠지고 식는것이 아니라 사랑이 다른데로 옮겨가는것같기도하고요 사람관심이 디폴트라 사람없으면 안될수도 음 근데 f 남자들이 생각보다 쉬지 않고 사귀는걸 많이 보긴했어요
70980,ISFJ,entj랑 5년째 장기연애 중이에요 제가 아는 엔티제로 비교하면 그냥 이성적으로 끌린다는 의미 같아용 엔티제가 원래 본인 얘기하는 걸 좋아하고 자존감 높은 것도 맞는데 그거에 대해 꾸짖음을 당하니 약간 자존심 상한 거 같아요 작성자님도 맞춰가려는 게 아니라 본인에게 맞춰주길 바라는 것처럼 느껴지네요 서로 노력해서 맞춰가자 가 아닌 너 왜 그래 그런 거 싫으니까 바꿔 로 느껴져서 많은 대화가 필요할 것 같습니당
20966,ISFJ,당연하죠 너무 늦게 제가봤네요
71374,ENTP,정말 이득을 위해서 그런 것 같단 생각이 드네요 제가 카톡프로필도 아무것도 안보이는걸로 바꿔두기도 했거든요 제 일상을 굳이 공유하고싶지도 않았구요 부탁한거 빨리 끝내고 끝내야겠습니다 감사합니다
71147,ISFJ,여자친구 생기면 카톡 프사에 대놓고 티내나요 티안내면 이유가 뭔가요
21149,ESTJ,잇프제의 인간관계는 1 내사람 2 내가 아는사람 3 남 이라고 합니다 수호자라고 하죠 그만큼 내사람한테는 도움을 주고 정말 헌신적인 사람들인데 잇프제가 내사람이라고 생각하기까지 굉장히 시간이 걸릴 수 있음을 꾸준한 모습을 보여주시길 바랍니다
31145,ISFP,저도 관찰력 눈썰미에는 자신있어요 누가 안경바꾼것도 알아봐요
80288,INTP,자주 보이는 분 찾기 하고 있었어요
77053,INTP,감정과 현실을 분리해서 생각해서 그런듯요 고마운 마음은 느끼지만 맛없는데 얜 초롱초롱 내앞에서 맛평가 기대하고 그런 상황이 고통스러워요
69031,ISTP,외모에 걸맞는 성격분위기 잘생겼다고 쳐다보는 일은 저얼대 없어요 괜찮은사람 같다싶어야합니다
39483,ESTP,즐거운 인생입니다
64395,INFP,평소 처렴 하고 그냥 잘 놀아주면 끝
72542,INTJ,너무 마음에 들면 탐색이나 분석 시간없이 들이미는 편입니다
80797,INTP,sns을 계속 본다는 게 스토리를 본다는 말씀이시라면 그냥 스토리 넘기다가 봤을 가능성도 있습니다
